Name,Duplicate,Spellings_semicolon_separated,Aliases
{d}PA-UR.SAG,FALSE,{d}PA-UR.SAG,
{d}UTU-bani,FALSE,{d}UTU-ba-ni,
{d}UTU-GAL,FALSE,{d}UTU-GAL,
A-<gap>-ku-<big_gap>,FALSE,A-<gap>-ku-<big_gap>,
A-áš-be-el,FALSE,A-áš-be-el,
A-bi4-ra-<gap>,FALSE,A-bi4-ra-<gap>,
A-dí-bu,FALSE,A-dí-bu,
A-ha-tí-e,FALSE,A-ha-tí-e,
A-na-ar,FALSE,A-na-ar,
A-na-na-ar-tim,FALSE,A-na-na-ar-tim,
A-nu-li,FALSE,A-nu-li,
A-šu-ra-an,FALSE,A-šu-ra-an,
A-ta-dí-a,FALSE,A-ta-dí-a,
A’ahšu,FALSE,a-a-ah-šu; a-a-ah-šu-nu,
A’ahšunu,FALSE,a-a-ah-šu-nu,
Ab-lamassī,FALSE,a-bi-la-ma-sí; áb-la-ma-a-sí; áb-la-ma-a-sí-i; áb-la-ma-sí; áb-lá-ma-a-sí; áb-lá-ma-a-sí-i; áb-lá-ma-sí,Ab-lamassi
Ab-šalim,FALSE,Áb-ša-lim,
Aba,FALSE,A-ba; a-ba-a,
Aba-<big_gap>-iš,FALSE,A-ba-<big_gap>-iš,
Aba-<gap>,FALSE,A-ba-<gap>,
Aba-ahī,FALSE,A-ba-a-hi,
Aba-il,FALSE,A-ba-el,
Aba-šalim,FALSE,a-ba-SILIM,
Aba-waqar,FALSE,A-ba-qar,
Ababa,FALSE,A-ba-ba; A-pa-pa,
Ababāya,FALSE,A-ba-ba-a-a,
Abalala,FALSE,A-ba-lá-lá; A-ba-lá-lá-a,
Abānum,FALSE,A-ba-ni-im,
Abaraya,FALSE,,
Abari,FALSE,A-ba-ri,
Abarna,FALSE,,
Abarzizum,FALSE,A-bar-zi-zi-im,
Abasia,FALSE,A-ba-sí-a,
Abatanānum,FALSE,a-ba-ta-na-nu-um; a-ba-ta-na-num,
Abatar,FALSE,a-ba-tár,
Abatim,FALSE,A-ba-tum; A-ba-tim,
Abattu,FALSE,A-ba-du-um,
Abattum,FALSE,A-ba-tum; A-ba-tim,
